UT time,Temp (K),Band intensity
-1,215.6617,115182.3594
-0.98,215.8413,113284.3516
-0.95,213.7545,111470.9375
-0.92,214.8449,110969.6172
-0.89,216.1344,107443.8906
-0.86,210.4183,105665.4609
-0.83,210.644,105656.0938
-0.8,209.8297,105967.3906
-0.77,211.9637,107743.3359
-0.75,208.7136,106628.9063
-0.72,208.93,106366.2266
-0.69,206.498,107133.4766
-0.66,204.6225,104300.7813
-0.63,204.783,104863.7578
-0.6,206.3158,106639.9609
-0.57,204.2122,105438.3438
-0.54,203.5984,103901.0938
-0.51,202.0776,102063.2891
-0.48,203.8017,102629.9453
-0.45,204.9444,102885.0078
-0.42,204.4058,102304.0703
-0.39,204.2552,101677.4531
-0.36,204.9471,101183.5859
-0.33,202.991,101167.0078
-0.31,202.8213,101341.8047
-0.28,206.8847,100250.6875
-0.25,204.3728,100421.2734
-0.22,202.2508,100027.4609
-0.19,203.2088,100172.3672
-0.16,--,100064.4141
-0.13,204.9759,99535.2422
-0.1,204.1241,101426.0547
-0.08,201.6974,103877.9453
-0.05,--,104437.9766
-0.02,201.7572,102490.9219
0,202.0139,101037.9375
0.03,202.4278,101795.3828
0.06,201.6203,100238.6563
0.09,202.9148,96315.3906
0.12,201.9288,93672.75
0.14,203.708,94987.3828
0.17,201.8466,96620.9219
0.2,201.3186,101654.6172
0.23,204.2437,103667.4844
0.26,204.3391,105909.7813
0.29,201.6704,106588.4141
0.32,201.9321,106867.6953
0.35,202.2953,109539.5781
0.38,204.0768,109238.7266
0.41,205.5789,106719.4766
0.44,202.855,105634.2344
0.47,205.1783,103854.375
0.5,203.3115,103876.4297
0.53,203.527,102289.1719
0.56,202.8677,99575.5078
0.59,200.6033,97729.0938
0.61,200.72,98461.4688
0.64,202.4233,99211.2188
0.67,202.3968,96588.5469
0.7,201.2857,94507
0.73,201.9218,95156.4297
0.76,200.3659,97262.8281
0.79,201.4712,98580.6563
0.82,200.2827,98123.2266
0.84,201.2486,96347.9453
0.87,200.407,94396.0625
0.9,200.5347,96254.9922
0.93,201.3692,97173.2031
0.96,198.5526,93636.0469
0.99,198.1922,90934.6953
1.02,198.1473,91222.1797
1.04,197.8069,91018.8594
1.07,197.3313,88835.1484
1.1,196.5144,86885.5703
1.13,196.0013,89234.0078
1.16,199.8145,91688.7656
1.19,198.7518,92740.3672
1.23,196.0258,92892.5781
1.26,196.6817,93342.1797
1.28,198.8358,95299.2969
1.31,197.0526,94810.1328
1.34,195.153,94443.7813
1.37,195.2164,94356.0703
1.4,--,94383.5703
1.43,199.0363,92836.75
1.46,197.7184,91974.5469
1.48,--,90347.2422
